AN_BASE,ID_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,QT_ANO_EGRESSO_M,QT_ANO_EGRESSO_F,QT_ANO_EGRESSO_D,CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,ID_ADD_PRODUCAO_INTELECTUAL,NR_ORDEM,ID_PESSOA_DISCENTE,ID_PESSOA_DOCENTE,ID_PARTICIPANTE_PPG_IES,ID_PESSOA_PART_EXTERNO,NM_AUTOR,TP_AUTOR,NM_TP_CATEGORIA_DOCENTE,NM_NIVEL_DISCENTE,NM_ABNT_AUTOR,CD_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,ID_NATUREZA_ATUACAO,NM_NATUREZA_ATUACAO,ID_PAIS,NM_PAIS,IN_GLOSA
2013,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,7838388,3,63735,,,,DANIEL SCAIN FARENZENA,DISCENTE,,DOUTORADO,"FARENZENA, D. S.",,,,,,,0
2013,2,25,,,1,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,7838388,2,,51938,,,MARCIO DORN,DOCENTE,PERMANENTE,,"DORN, M.",,,,,,,0
2013,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,7838388,1,1517632,,,,RAFAEL KINDLEIN DE ANDRADES,DISCENTE,,BACHARELADO,"ANDRADES, R. K.",,,,,,,0
2013,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,7838388,4,,15656,,,LUIS DA CUNHA LAMB,DOCENTE,PERMANENTE,,"LAMB, L. C.",,,,,,,0
2013,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,7838389,2,,14400,,,JACOB SCHARCANSKI,DOCENTE,PERMANENTE,,"SCHARCANSKI, J.",,,,,,,0
2013,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,7838389,1,610848,,,,PABLO ROBERLAN MANKE BARCELLOS,DISCENTE,,MESTRADO,"BARCELLOS, P. R. M.",,,,,,,0
2013,2,25,,,7,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,7838392,2,,465737,,,LUCINEIA HELOISA THOM,DOCENTE,PERMANENTE,,"THOM, L. H.",,,,,,,0
2013,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,7838392,4,,,772150,1517782,OMAR CHIOTTI,PARTICIPANTE EXTERNO,,,"CHIOTTI, O.",,,,,,,0
2013,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,7838392,1,,,771951,1517713,IVANNA MARICRUZ LAZARTE,PARTICIPANTE EXTERNO,,,"LAZARTE, I. M.",,,,,,,0
2013,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,7838392,5,,,772368,1517853,PABLO DAVID VILLARREAL,PARTICIPANTE EXTERNO,,,"VILLARREAL, P. D.",,,,,,,0
