AN_BASE;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;QT_ANO_EGRESSO_M;QT_ANO_EGRESSO_F;QT_ANO_EGRESSO_D;CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;ID_ADD_PRODUCAO_INTELECTUAL;NR_ORDEM;ID_PESSOA_DISCENTE;ID_PESSOA_DOCENTE;ID_PARTICIPANTE_PPG_IES;ID_PESSOA_PART_EXTERNO;NM_AUTOR;TP_AUTOR;NM_TP_CATEGORIA_DOCENTE;NM_NIVEL_DISCENTE;NM_ABNT_AUTOR;CD_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;ID_NATUREZA_ATUACAO;NM_NATUREZA_ATUACAO;ID_PAIS;NM_PAIS;IN_GLOSA
2014;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;8371407;1;;;;;RAJ MADHAVAN:;-;;;MADHAVAN:, R.;10300007;CIÊNCIA DA COMPUTAÇÃO;4;PESSOA FÍSICA;31;BRASIL;0
2014;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;8371407;11;;;871229;77119;EUGENIO JOSE GARCIA;PARTICIPANTE EXTERNO;;;GARCIA, E. J.;;;;;;;0
2014;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;8371407;10;567347;;;;GUILHERME SCHVARCZ FRANCO;DISCENTE;;MESTRADO;FRANCO, G. S.;;;;;;;0
2014;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;8371407;6;;;;;DAVID PORTUGAL;-;;;PORTUGAL, D.;10300007;CIÊNCIA DA COMPUTAÇÃO;4;PESSOA FÍSICA;31;BRASIL;0
2014;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;8371407;2;;;;;LINO MARQUES;-;;;MARQUES, L.;10300007;CIÊNCIA DA COMPUTAÇÃO;4;PESSOA FÍSICA;31;BRASIL;0
2014;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;8371407;4;;;;;PRITHVARAJ DASGUPTA;-;;;DASGUPTA, P.;10300007;CIÊNCIA DA COMPUTAÇÃO;4;PESSOA FÍSICA;31;BRASIL;0
2014;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;8371407;5;;;;;GON ALO CABRITA;-;;;CABRITA, G.;10200002;PROBABILIDADE E ESTATÍSTICA;4;PESSOA FÍSICA;31;BRASIL;0
2014;2;25;;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;8371407;7;;;;;BRUNO GOUVEIA;-;;;GOUVEIA, B.;10300007;CIÊNCIA DA COMPUTAÇÃO;4;PESSOA FÍSICA;31;BRASIL;0
2014;2;25;2;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;8371407;8;307336;;;;VITOR AUGUSTO MACHADO JORGE;DISCENTE;;DOUTORADO;JORGE, V. A. M.;;;;;;;0
2014;2;25;1;;;42001013004P4;COMPUTAÇÃO;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;8371407;9;76881;;;;RENAN DE QUEIROZ MAFFEI;DISCENTE;;DOUTORADO;MAFFEI, R. Q.;;;;;;;0
