CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,AN_BASE,ID_ADD_PRODUCAO_INTELECTUAL,ID_PRODUCAO_INTELECTUAL,NM_PRODUCAO,ID_TIPO_PRODUCAO,NM_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,NM_SUBTIPO_PRODUCAO,ID_FORMULARIO_PRODUCAO,NM_FORMULARIO,ID_AREA_CONCENTRACAO,NM_AREA_CONCENTRACAO,ID_LINHA_PESQUISA,NM_LINHA_PESQUISA,ID_PROJETO,NM_PROJETO,DH_INICIO_AREA_CONC,DH_FIM_AREA_CONC,DH_INICIO_LINHA,DH_FIM_LINHA,IN_GLOSA
31005012004P9,INFORMÁTICA,PUC-RIO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,2017,23176395,5310609,A SOFTWARE FRAMEWORK FOR DATA PROVENANCE,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,77627,ENGENHARIA DE SOFTWARE,,,,,01JAN2010:00:00:00.000000,,,,0
31005012004P9,INFORMÁTICA,PUC-RIO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,2017,23176498,5489131,MODELING ACTORS'GOALS - THE INTENTIONALITY PANELS CONSTRUCTION - (IP DIAGRAMS),2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,77627,ENGENHARIA DE SOFTWARE,86489,ENGENHARIA DE REQUISITOS,,,01JAN2010:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
31005012004P9,INFORMÁTICA,PUC-RIO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,2017,23176500,5288456,NETWORK TRAVERSAL AS AN AID TO PLOT ANALYSIS AND COMPOSITION,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,77626,COMPUTAÇÃO GRÁFICA,86510,"JOGOS, VFX E ENTRETENIMENTO DIGITAL",,,01JAN2010:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
31005012004P9,INFORMÁTICA,PUC-RIO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,2017,23176509,5273828,ON THE INFLUENCE OF HUMAN FACTORS FOR IDENTIFYING CODE SMELLS: A MULTI-TRIAL EMPIRICAL STUDY,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,77627,ENGENHARIA DE SOFTWARE,86492,TESTE E QUALIDADE DE SOFTWARE,,,01JAN2010:00:00:00.000000,,01JAN2012:00:00:00.000000,31DEC2014:00:00:00.000000,0
31005012004P9,INFORMÁTICA,PUC-RIO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,2017,23176433,5411858,CONVERTING NCL DOCUMENTS TO SMIX AND FIXING THEIR SEMANTICS AND INTERPRETATION IN THE PROCESS,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,77633,HIPERTEXTO E MULTIMÍDIA,86477,APLICAÇÕES MULTIMÍDIA E HIPERMÍDIA,,,01JAN2010:00:00:00.000000,,01JAN2012:00:00:00.000000,31DEC2015:00:00:00.000000,0
31005012004P9,INFORMÁTICA,PUC-RIO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,2017,23175666,5310280,A FAST APPROACH FOR AUTOMATIC GENERATION OF POPULATED MAPS WITH SEED AND DIFFICULTY CONTROL,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,77626,COMPUTAÇÃO GRÁFICA,86510,"JOGOS, VFX E ENTRETENIMENTO DIGITAL",,,01JAN2010:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
31005012004P9,INFORMÁTICA,PUC-RIO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,2017,23176475,5356921,IMOBILE: A FRAMEWORK TO IMPLEMENT SOFTWARE AGENTS FOR THE IOS PLATFORM,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,77627,ENGENHARIA DE SOFTWARE,86490,ENGENHARIA DE SOFTWARE PARA SISTEMAS MULTI-AGENTES,,,01JAN2010:00:00:00.000000,,04JAN2010:00:00:00.000000,,0
31005012004P9,INFORMÁTICA,PUC-RIO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,2017,23176402,5406899,AN APPROACH FOR REAL-TIME STREAM REASONING FOR THE INTERNET OF THINGS,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,77631,TEORIA DA COMPUTAÇÃO,86494,LÓGICA E SEMÂNTICA DE PROGRAMAS,,,01JAN2010:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
31005012004P9,INFORMÁTICA,PUC-RIO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,2017,23176412,5249531,ARCHITECTING HOLISTIC FAULT TOLERANCE,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,77627,ENGENHARIA DE SOFTWARE,,,,,01JAN2010:00:00:00.000000,,,,0
31005012004P9,INFORMÁTICA,PUC-RIO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,2017,23176430,5273137,COMPREHENSIBILITY OF HETEROGENEOUS CONFIGURATION KNOWLEDGE: A USER STUDY,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,77627,ENGENHARIA DE SOFTWARE,86487,"DESENVOLVIMENTO BASEADO EM COMPONENTES, LINHAS DE PRODUTOS E FRAMEWORKS",,,01JAN2010:00:00:00.000000,,01JAN2012:00:00:00.000000,31DEC2014:00:00:00.000000,0
