CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,AN_BASE,ID_ADD_PRODUCAO_INTELECTUAL,ID_PRODUCAO_INTELECTUAL,NM_PRODUCAO,ID_TIPO_PRODUCAO,NM_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,NM_SUBTIPO_PRODUCAO,ID_FORMULARIO_PRODUCAO,NM_FORMULARIO,ID_AREA_CONCENTRACAO,NM_AREA_CONCENTRACAO,ID_LINHA_PESQUISA,NM_LINHA_PESQUISA,ID_PROJETO,NM_PROJETO,DH_INICIO_AREA_CONC,DH_FIM_AREA_CONC,DH_INICIO_LINHA,DH_FIM_LINHA,IN_GLOSA
42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,22638930,5131639,UNRAVELING THE OXIDATION MECHANISMS TAKING PLACE IN EARLY STEPS OF 4H-SIC DRY THERMAL OXIDATION,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80621,PROCESSAMENTO FÍSICO-QUÍMICO DE MATERIAIS E DISPOSITIVOS,98860,PROCESSOS FÍSICO-QUÍMICOS EM SILÍCIO,,,01MAR2003:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,22633290,5918797,A CELL CLUSTERING TECHNIQUE TO REDUCE TRANSISTOR COUNT,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80623,CONCEPÇÃO DE CIRCUITOS E SISTEMAS INTEGRADOS,113580,PROJETO DE CIRCUITOS E SISTEMAS TOLERANTES A RADIAÇÃO,,,01MAR2003:00:00:00.000000,,01MAR2003:00:00:00.000000,,0
42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,22638720,6012625,EXPLOITING ABSOLUTE ARITHMETIC FOR POWER-EFFICIENT SUM OF ABSOLUTE DIFFERENCES,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80623,CONCEPÇÃO DE CIRCUITOS E SISTEMAS INTEGRADOS,113559,PROJETO DE CIRCUITOS COM BAIXO CONSUMO DE POTÊNCIA,,,01MAR2003:00:00:00.000000,,01MAR2003:00:00:00.000000,,0
42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,22633293,5431247,A FULLY INTEGRATED CMOS 2.4GHZ AND 24DBM LINEAR POWER AMPLIFIER,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,,,,,,,,,,,0
42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,22633303,5431072,"A SUB-1 V, NANOPOWER, ZTC BASED ZERO-VT TEMPERATURE-COMPENSATED CURRENT REFERENCE",2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80623,CONCEPÇÃO DE CIRCUITOS E SISTEMAS INTEGRADOS,113559,PROJETO DE CIRCUITOS COM BAIXO CONSUMO DE POTÊNCIA,,,01MAR2003:00:00:00.000000,,01MAR2003:00:00:00.000000,,0
42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,22638892,5131081,SEU SUSCEPTIBILITY ANALYSIS OF A FEEDFORWARD NEURAL NETWORK IMPLEMENTED IN A SRAM-BASED FPGA,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80623,CONCEPÇÃO DE CIRCUITOS E SISTEMAS INTEGRADOS,98865,PROJETO DE ARQUITETURAS VLSI DEDICADOS A APLICAÇÕES ESPECIFÍCAS DE CODIFICAÇÃO DE VIDEO,,,01MAR2003:00:00:00.000000,,01MAR2003:00:00:00.000000,,0
42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,22638905,5917126,UFRGSPLACE: ROUTABILITY DRIVEN FPGA PLACEMENT ALGORITHM FOR HETEROGENEOUS FPGAS,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80623,CONCEPÇÃO DE CIRCUITOS E SISTEMAS INTEGRADOS,98858,PROJETO DE CIRCUITOS E SISTEMAS DIGITAIS,,,01MAR2003:00:00:00.000000,,01MAR2003:00:00:00.000000,,0
42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,22638932,6012630,USING ADDER AND SUBTRACTOR COMPRESSORS TO SUM OF ABSOLUTE TRANSFORMED DIFFERENCES ARCHITECTURE FOR LOW-POWER VIDEO ENCODING,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80623,CONCEPÇÃO DE CIRCUITOS E SISTEMAS INTEGRADOS,98858,PROJETO DE CIRCUITOS E SISTEMAS DIGITAIS,,,01MAR2003:00:00:00.000000,,01MAR2003:00:00:00.000000,,0
42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,22638890,5868166,SET RESPONSE OF FINFET-BASED MAJORITY VOTER CIRCUITS UNDER WORK-FUNCTION FLUCTUATION,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80623,CONCEPÇÃO DE CIRCUITOS E SISTEMAS INTEGRADOS,98858,PROJETO DE CIRCUITOS E SISTEMAS DIGITAIS,,,01MAR2003:00:00:00.000000,,01MAR2003:00:00:00.000000,,0
42001013078P8,MICROELETRÔNICA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,22638840,5421671,ROBUSTNESS OF SUB-22NM MULTIGATE DEVICES AGAINST PHYSICAL VARIABILITY,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80623,CONCEPÇÃO DE CIRCUITOS E SISTEMAS INTEGRADOS,98858,PROJETO DE CIRCUITOS E SISTEMAS DIGITAIS,,,01MAR2003:00:00:00.000000,,01MAR2003:00:00:00.000000,,0
