CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,AN_BASE,ID_ADD_PRODUCAO_INTELECTUAL,ID_PRODUCAO_INTELECTUAL,NM_PRODUCAO,ID_TIPO_PRODUCAO,NM_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,NM_SUBTIPO_PRODUCAO,ID_FORMULARIO_PRODUCAO,NM_FORMULARIO,ID_AREA_CONCENTRACAO,NM_AREA_CONCENTRACAO,ID_LINHA_PESQUISA,NM_LINHA_PESQUISA,ID_PROJETO,NM_PROJETO,DH_INICIO_AREA_CONC,DH_FIM_AREA_CONC,DH_INICIO_LINHA,DH_FIM_LINHA,IN_GLOSA
42001013075P9,INFORMÁTICA NA EDUCAÇÃO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,23170414,5289981,M-LEARNING FOR THE EDERLY: MAPPING OF DIGITAL COMPETENCES,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80614,AMBIENTES INFORMATIZADOS E ENSINO A DISTANCIA,98847,AMBIENTES INFORMATIZADOS E ENSINO A DISTÂNCIA,334025,ARQEAD-SOCIOAFETO: ARQUITETURAS PEDAGÓGICAS EM EDUCAÇÃO A DISTÂNCIA: UM FOCO NAS RELAÇÕES AFETIVAS E SOCIAIS EM AMBIENTES VIRTUAIS DE APRENDIZAGEM,01AUG2000:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
42001013075P9,INFORMÁTICA NA EDUCAÇÃO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,23170403,5282784,MESAS TANGIBLES PARA LA PLANIFICACIÓN COGNITIVA EN ALUMNOS CON TRASTORNO DEL ESPECTRO AUTISTA (TEA),2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80614,AMBIENTES INFORMATIZADOS E ENSINO A DISTANCIA,98847,AMBIENTES INFORMATIZADOS E ENSINO A DISTÂNCIA,341027,ARCA: ALFABETIZAÇÃO COM RECURSOS ABERTOS DE COMUNICAÇÃO ALTERNATIVA A PARTIR DE MÉTODOS E TECNOLOGIAS INOVADORES APLICADOS À CRIANÇAS COM DEFICIÊNCIA INTELECTUAL E/OU TEA,01AUG2000:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
42001013075P9,INFORMÁTICA NA EDUCAÇÃO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,23170518,5289245,SOCIAL INTERACTIONS IN DISTANCE EDUCATION: DEVELOPMENT OF A DIGITAL EDUCATIONAL MATERIAL,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80614,AMBIENTES INFORMATIZADOS E ENSINO A DISTANCIA,98847,AMBIENTES INFORMATIZADOS E ENSINO A DISTÂNCIA,334025,ARQEAD-SOCIOAFETO: ARQUITETURAS PEDAGÓGICAS EM EDUCAÇÃO A DISTÂNCIA: UM FOCO NAS RELAÇÕES AFETIVAS E SOCIAIS EM AMBIENTES VIRTUAIS DE APRENDIZAGEM,01AUG2000:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
42001013075P9,INFORMÁTICA NA EDUCAÇÃO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,23170225,5283379,A MODEL TO AGGREGATE HETEROGENEOUS LEARNING OBJECTS REPOSITORIES,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80614,AMBIENTES INFORMATIZADOS E ENSINO A DISTANCIA,98847,AMBIENTES INFORMATIZADOS E ENSINO A DISTÂNCIA,,,01AUG2000:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
42001013075P9,INFORMÁTICA NA EDUCAÇÃO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,23170370,6041444,JOGOS DIGITAIS PARA A PROMOÇÃO DA ALIMENTAÇÃO SAUDÁVEL NO AMBIENTE ESCOLAR BRASILEIRO,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,,,,,,,,,,,0
42001013075P9,INFORMÁTICA NA EDUCAÇÃO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,23170451,5296333,PENSAMENTO COMPUTACIONAL DESPLUGADO: ENSINO E AVALIAÇÃO NA EDUCAÇÃO PRIMÁRIA ESPANHOLA,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80615,PARADIGMAS PARA PESQ. SOBRE ENSINO CIENTÍFICO E TECNOLÓGICO,98846,PARADIGMAS PARA A PESQUISA SOBRE O ENSINO CIENTÍFICO E TECNOLÓGICO,440742,"CIRCUITOS DE APRENDIZAGEM: ESTUDO, PESQUISA, AMPLIAÇÃO E IMPLEMENTAÇÃO DE REDE SOCIAL DE APRENDIZAGEM",01AUG2000:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
42001013075P9,INFORMÁTICA NA EDUCAÇÃO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,23170380,5273550,LEARNING PRINCIPLES OF ELECTRICITY THROUGH EXPERIENCING IN VIRTUAL WORLDS,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80614,AMBIENTES INFORMATIZADOS E ENSINO A DISTANCIA,98847,AMBIENTES INFORMATIZADOS E ENSINO A DISTÂNCIA,352289,AVATAR - APRENDIZAGEM VIRTUAL DE APRENDIZAGEM E TRABALHO ACADÊMICO REMOTO,01AUG2000:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
42001013075P9,INFORMÁTICA NA EDUCAÇÃO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,23170366,5296395,INTERNET DAS COISAS NA EDUCAÇÃO TRAJETÓRIA PARA UM CAMPUS INTELIGENTE,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80614,AMBIENTES INFORMATIZADOS E ENSINO A DISTANCIA,98847,AMBIENTES INFORMATIZADOS E ENSINO A DISTÂNCIA,440886,"ALERTA ¿ AMBIENTE LÓGICO DE ENCAMINHAMENTO, RESPOSTA E TRATAMENTO DE AVISOS",01AUG2000:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
42001013075P9,INFORMÁTICA NA EDUCAÇÃO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,23170278,5282402,BEATNIK: AN ALGORITHM TO AUTOMATIC GENERATION OF EDUCATIONAL DESCRIPTION OF MOVIES,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80614,AMBIENTES INFORMATIZADOS E ENSINO A DISTANCIA,98847,AMBIENTES INFORMATIZADOS E ENSINO A DISTÂNCIA,411434,TECMIDES - DESCOBERTA DO DESÂNIMO DE ALUNOS EM AMBIENTE VIRTUAIS DE ENSINO E APRENDIZAGEM UTILIZANDO MINERAÇÃO DE DADOS EDUCACIONAIS,01AUG2000:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
42001013075P9,INFORMÁTICA NA EDUCAÇÃO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2017,23170313,5296406,DEVELOPMENT OF COMPUTATIONAL THINKING SKILLS THROUGH UNPLUGGED ACTIVITIES IN PRIMARY SCHOOL,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,80615,PARADIGMAS PARA PESQ. SOBRE ENSINO CIENTÍFICO E TECNOLÓGICO,98846,PARADIGMAS PARA A PESQUISA SOBRE O ENSINO CIENTÍFICO E TECNOLÓGICO,440742,"CIRCUITOS DE APRENDIZAGEM: ESTUDO, PESQUISA, AMPLIAÇÃO E IMPLEMENTAÇÃO DE REDE SOCIAL DE APRENDIZAGEM",01AUG2000:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
