CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,AN_BASE,ID_ADD_PRODUCAO_INTELECTUAL,ID_PRODUCAO_INTELECTUAL,NM_PRODUCAO,ID_TIPO_PRODUCAO,NM_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,NM_SUBTIPO_PRODUCAO,ID_FORMULARIO_PRODUCAO,NM_FORMULARIO,ID_AREA_CONCENTRACAO,NM_AREA_CONCENTRACAO,ID_LINHA_PESQUISA,NM_LINHA_PESQUISA,ID_PROJETO,NM_PROJETO,DH_INICIO_AREA_CONC,DH_FIM_AREA_CONC,DH_INICIO_LINHA,DH_FIM_LINHA,IN_GLOSA
33003017005P8,CIÊNCIA DA COMPUTAÇÃO,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2017,22528500,5489185,BIOGRAPH: LINKING BIOLOGICAL BASES ACROSS ORGANISMS,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,,,,,,,,,,,0
33003017005P8,CIÊNCIA DA COMPUTAÇÃO,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2017,22528763,5745171,TIGHTER ANALYSIS OF AN APPROXIMATION FOR THE CUMULATIVE VRP,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,,,,,,,,,,,0
33003017005P8,CIÊNCIA DA COMPUTAÇÃO,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2017,22528450,5812025,A METHOD OF ECO-DRIVING BASED ON INTRA-VEHICULAR SENSOR DATA,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,,,,,,,,,,,0
33003017005P8,CIÊNCIA DA COMPUTAÇÃO,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2017,22528695,5148566,PROVENANCE FILTERING FOR MULTIMEDIA PHYLOGENY,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,,,,,,,,,,,0
33003017005P8,CIÊNCIA DA COMPUTAÇÃO,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2017,22528542,6194514,DEEP LEARNING MODELS FOR BONE SUPPRESSION IN CHEST RADIOGRAPHS,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,,,,,,,,,,,0
33003017005P8,CIÊNCIA DA COMPUTAÇÃO,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2017,22528563,5190791,EXPERIMENTAL STUDIES FOR REVEALING KEY FACTORS OF CROSS-LANGUAGE ONTOLOGY ALIGNMENTS,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,,,,,,,,,,,0
33003017005P8,CIÊNCIA DA COMPUTAÇÃO,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2017,22528576,5727289,GERAÇÃO DE SENHAS SEGURAS COM BASE NO MÉTODO DICEWARE,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,,,,,,,,,,,0
33003017005P8,CIÊNCIA DA COMPUTAÇÃO,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2017,22527963,5771200,A ESTATURA COMO TRAÇO BIOMÉTRICO AUXILIAR NA IDENTIFICAÇÃO DE AUTORES DE DELITO - APLICAÇÃO DE METODOLOGIA FORENSE DE ESTIMATIVA DE ALTURA HUMANA EM VÍDEOS DE SISTEMA DE VIGILÂNCIA,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,,,,,,,,,,,0
33003017005P8,CIÊNCIA DA COMPUTAÇÃO,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2017,22528539,5767900,DATA COHERENCE ANALYSIS AND OPTIMIZATION FOR HETEROGENEOUS COMPUTING,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,,,,,,,,,,,0
33003017005P8,CIÊNCIA DA COMPUTAÇÃO,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2017,22528754,5767786,THE CLOUD AS AN OPENMP OFFLOADING DEVICE,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,,,,,,,,,,,0
